name,itemID,author,price,type,isDisabled,buyable
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
hi!,-1,,1.0,PhysicalItem,false,false
